PARTY_ID__C,PARTY_CLASS_CODE__C,PARTY_CLASS_CODE_MEANING__C,FIRST_NAME__C,LAST_NAME__C,SSN__C,ORG_NAME__C,NASDAQ_CODE__C,TRADE_MARK_ID__C,PRIMARY_ADDRESS_CITY__C,PRIMARY_ADDRESS_STATE__C,PRIMARY_ADDRESS_LINE_1__C,DUNS_NUMBER__C,PRIMARY_ADDRESS_LINE_2__C,PARTY_ROLE_TYPE__C,PARTY_ROLE_TYPE_MEANING__C,PARTY_ROLE_STATUS__C,SOUCE_SYSTEM_CODE__C,NICK_NAME__C,ALIAS_NAME__C,SOURCE_SYSTEM_MEANING__C,SOURCE_SYSTEM_DESCRIPTION__C,PRIMARY_ADDRESS_LINE_3__C,PRIMARY_ADDRESS_LINE_4__C,PRIMARY_ADDRESS_LINE_5__C,PRIMARY_ADDRESS_ZIPCODE__C,PRIMARY_ADDRESS_COUNTRY__C,SHIPPING_ADDRESS_LINE_1__C,SHIPPING_ADDRESS_LINE_2__C,SHIPPING_ADDRESS_LINE_3__C,SHIPPING_ADDRESS_LINE_4__C,SHIPPING_ADDRESS_LINE_5__C,SHIPPING_ADDRESS_CITY__C,SHIPPING_ADDRESS_STATE__C,SHIPPING_ADDRESS_ZIPCODE__C,SHIPPING_ADDRESS_COUNTRY__C,BILLING_ADDRESS_LINE_1__C,BILLING_ADDRESS_LINE_2__C,BILLING_ADDRESS_LINE_3__C,BILLING_ADDRESS_LINE_4__C,BILLING_ADDRESS_LINE_5__C,BILLING_ADDRESS_CITY__C,BILLING_ADDRESS_STATE__C,BILLING_ADDRESS_ZIPCODE__C,BILLING_ADDRESS_COUNTRY__C,REP_ADDRESS_LINE_1__C,REP_ADDRESS_LINE_2__C,REP_ADDRESS_LINE_3__C,REP_ADDRESS_LINE_4__C,REP_ADDRESS_LINE_5__C,REP_ADDRESS_CITY__C,REP_ADDRESS_STATE__C,REP_ADDRESS_ZIPCODE__C,REP_ADDRESS_COUNTRY__C,PRIMARY_EMAIL__C,SECONDARY_EMAIL__C,ALTERNATE_EMAIL__C,URL__C,OFFICE_NUMBER_1__C,OFFICE_EXTN_1__C,OFFICE_NUMBER_2__C,OFFICE_EXTN_2__C,HOME_NUMBER__C,CELL_NUMBER__C,FAX_NUMBER__C,PREFIX__C,MIDDLE_NAME__C,SUFFIX__C,GENDER__C,BIRTH_DATE__C,PASSPORT_NUMBER__C,DRIVING_LICENSE_ID__C,STATE_LICENSE_ID__C,REGISTERED_NAME__C,POPULAR_NAME__C,REGISTERED_NUMBER__C,TAX_ID__C,SOURCE_IDENTIFIER__C
1936101,Organization,ORGANIZATION,,,,Carolina's Medical Center - Main ,NDC45666675,78678,CHARLOTTE,NC,1000 BLYTHE BLVD,65-349-9867,Nr. Mithic Church,Hospital,Hospital,Active,ERP,,Carolina,Enterprise resource planning,Enterprise resource planning,Asia Tower,Talcott Road,100 ft Lane,28203,US,,,,,,,,,,,,,,,,,,,1000 BLYTHE ,BLVD,,,,CHARLOTTE,NC,28203,US,carolina@yahoo.co.in,carolina@gmail.com,carolina@rediff.com,www.Carolina.com,2344454580,78977,2343456543,23455,,,234345897,,,,,,,,,Carolina's Medical Center - Main ,Carolina,59595,67868,NASDAQ CODE
1936102,Organization,ORGANIZATION,,,,Resurrection Medical Center Pharmacy,NDC67864324,78679,CHICAGO,IL,7435 W TALCOTT AVE,65-349-9868,,Clinic,Clinic,Active,ERP,,Resurrection,Enterprise resource planning,Enterprise resource planning,,,,60631,US,7435 W TALCOTT AVE,,,,,CHICAGO,IL,60631,US,,,,,,,,,,7435 W TALCOTT AVE,,,,,CHICAGO,IL,60631,US,Resurrection@yahoo.co.in,,,www.Resurrection.com,3455635643,89096,2343456544,,,,234345898,,,,,,,,,Resurrection Medical Center Pharmacy,Resurrection,15500,67869,NASDAQ CODE
1936103,Organization,ORGANIZATION,,,,Austin Diagnostic Medical Center,NDC27607570,78680,AUSTIN,TX,6204 BALCONES DR,65-349-9869,,Hospital,Hospital,Active,ERP,,Austin Diagnostic,Enterprise resource planning,Enterprise resource planning,,,,78731,US,,,,,,,,,,,,,,,,,,,6204 BALCONES DR,,,,,AUSTIN,TX,78731,US,Austin@yahoo.co.in,,,www.AustinDiagnostic.com,1234534563,56757,2343456545,,,,234345899,,,,,,,,,Austin Diagnostic Medical Center,Austin Diagnostic,64374,67870,NASDAQ CODE
1936104,Organization,ORGANIZATION,,,,Commonwealth Cancer Center-Danville,NDC78942104,78681,CHARLOTTE,NC,2115 E 7TH ST STE 102,65-349-9870,,Department ,Department,Active,ERP,,Commonwealth,Enterprise resource planning,Enterprise resource planning,,,,28204,US,,,,,,,,,,,,,,,,,,,2115 E 7TH ST STE 102,,,,,CHARLOTTE,NC,28204,US,Commonwealth@gmail.com,,,www.Commonwealth.com,3454563423,57657,2343456546,,,,234345900,,,,,,,,,Commonwealth Cancer Center-Danville,Commonwealth,47349,67871,NASDAQ CODE
1936105,Organization,ORGANIZATION,,,,Mary Greeley Medical Center,NDC01235392,78682,AMES,IA,1111 DUFF AVE,65-349-9871,,Hospital,Hospital,Active,ERP,,Mary Greeley,Enterprise resource planning,Enterprise resource planning,,,,50010,US,1111 DUFF AVE,,,,,AMES,IA,50010,US,,,,,,,,,,1111 DUFF AVE,,,,,AMES,IA,50010,US,Mary@gmail.com,,,www.MaryGreeley.com,7655655645,56753,2343456547,,,,234345901,,,,,,,,,Mary Greeley Medical Center,Mary Greeley,59596,67872,NASDAQ CODE
1936106,Organization,ORGANIZATION,,,,UPMC Cancer Center,NDC22103489,78683,PITTSBURGH,PA,200 LOTHROP ST,65-349-9872,,Hospital,Hospital,Active,ERP,,UPMC,Enterprise resource planning,Enterprise resource planning,,,,15213,US,200 LOTHROP ST,,,,,PITTSBURGH,PA,15213,US,,,,,,,,,,200 LOTHROP ST,,,,,PITTSBURGH,PA,15213,US,UPMC@yahoo.co.in,,,www.UPMC.com,2344564532,89799,2343456548,,,,234345902,,,,,,,,,UPMC Cancer Center,UPMC,60282,67873,NASDAQ CODE
1936107,Organization,ORGANIZATION,,,,Holy Family Hospital & Medical Center,NDC23493881 ,78684,METHUEN,MA,70 EAST ST,65-349-9873,,Hospital,Hospital,Active,ERP,,Holy Family,Enterprise resource planning,Enterprise resource planning,,,,1844,US,70 EAST ST,,,,,METHUEN,MA,1844,US,,,,,,,,,,70 EAST ST,,,,,METHUEN,MA,1844,US,HolyFamily@gmail.com,HolyFamily@yahoo.com,,www.HolyFamily.com,1325637656,57656,2343456549,,,,234345903,,,,,,,,,Holy Family Hospital & Medical Center,Holy Family,61569,67874,NASDAQ CODE
1936108,Organization,ORGANIZATION,,,,Centra State Healthcare System,NDC55385578 ,78685,FREEHOLD,NJ,901 WET MAIN STREET,65-349-9874,,Hospital,Hospital,Active,ERP,,Centra State,Enterprise resource planning,Enterprise resource planning,,,,7728,US,,,,,,,,,,,,,,,,,,,901 WET MAIN STREET,,,,,FREEHOLD,NJ,7728,US,CentrState@yahoo.co.in,,,www.CentraState.com,5343236543,67867,2343456550,,,,234345904,,,,,,,,,Centra State Healthcare System,Centra State,58478,67875,NASDAQ CODE
1936109,Organization,ORGANIZATION,,, ,VA Medical Center,NDC08417336 ,78686,MINNEAPOLIS,MN,1 VETERANS DR,65-349-9875,,Department ,Department,Active,ERP,,VA,Enterprise resource planning,Enterprise resource planning,,,,55417,US,1 VETERANS DR,,,,,MINNEAPOLIS,MN,55417,US,,,,,,,,,,1 VETERANS DR,,,,,MINNEAPOLIS,MN,55417,US,VAMedical@gmail.com,,,www.VA.com,3556347543,67868,2343456551,,,,234345905,,,,,,,,,VA Medical Center,VA,47350,67876,NASDAQ CODE
1936110,Organization,ORGANIZATION,,,,Minnesota Onc/Hematology,NDC04534232,78687,HOUSTON,TX,909 FROSTWOOD DR STE 221,65-349-9876,,Department ,Department,Active,ERP,,Minnesota ,Enterprise resource planning,Enterprise resource planning,,,,77024,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minnesota@yahoo.co.in,,,www.Minnesota .com,3325435643,34668,2343456552,,,,234345906,,,,,,,,,Minnesota Onc/Hematology,Minnesota ,57750,67877,NASDAQ CODE
